| lane/fixture                 | verdict    | amd-gfx942-wide-one | amd-gfx942-wide-two | nvidia-sm_90a-wide-one | nvidia-sm_90a-wide-two |
|------------------------------|------------|------------------|------------------|------------------|------------------|
| par-byte-lm-model-pool/base  | IDENTICAL x4 | a7b6e3c42612f8ad | a7b6e3c42612f8ad | a7b6e3c42612f8ad | a7b6e3c42612f8ad |
| par-byte-lm-model-pool/denormal | IDENTICAL x4 | 2ff29a0dc1cd1e24 | 2ff29a0dc1cd1e24 | 2ff29a0dc1cd1e24 | 2ff29a0dc1cd1e24 |
| par-byte-lm-model-pool/dupes | IDENTICAL x4 | ecece4b09b44414b | ecece4b09b44414b | ecece4b09b44414b | ecece4b09b44414b |
| par-byte-lm-model-pool/odd   | IDENTICAL x4 | a7b6e3c42612f8ad | a7b6e3c42612f8ad | a7b6e3c42612f8ad | a7b6e3c42612f8ad |
| par-byte-lm-model-pool/ties  | IDENTICAL x4 | 8c566671f9234d33 | 8c566671f9234d33 | 8c566671f9234d33 | 8c566671f9234d33 |
| par-byte-lm-offload/base     | IDENTICAL x4 | a7b6e3c42612f8ad | a7b6e3c42612f8ad | a7b6e3c42612f8ad | a7b6e3c42612f8ad |
| par-byte-lm-offload/denormal | IDENTICAL x4 | 2ff29a0dc1cd1e24 | 2ff29a0dc1cd1e24 | 2ff29a0dc1cd1e24 | 2ff29a0dc1cd1e24 |
| par-byte-lm-offload/dupes    | IDENTICAL x4 | ecece4b09b44414b | ecece4b09b44414b | ecece4b09b44414b | ecece4b09b44414b |
| par-byte-lm-offload/odd      | IDENTICAL x4 | a7b6e3c42612f8ad | a7b6e3c42612f8ad | a7b6e3c42612f8ad | a7b6e3c42612f8ad |
| par-byte-lm-offload/ties     | IDENTICAL x4 | 8c566671f9234d33 | 8c566671f9234d33 | 8c566671f9234d33 | 8c566671f9234d33 |
| par-byte-lm/base             | IDENTICAL x4 | c7e833dbba28573a | c7e833dbba28573a | c7e833dbba28573a | c7e833dbba28573a |
| par-byte-lm/denormal         | IDENTICAL x4 | b4b6d47151a42ed9 | b4b6d47151a42ed9 | b4b6d47151a42ed9 | b4b6d47151a42ed9 |
| par-byte-lm/dupes            | IDENTICAL x4 | 0cb04fb5247b8dc4 | 0cb04fb5247b8dc4 | 0cb04fb5247b8dc4 | 0cb04fb5247b8dc4 |
| par-byte-lm/odd              | IDENTICAL x4 | c7e833dbba28573a | c7e833dbba28573a | c7e833dbba28573a | c7e833dbba28573a |
| par-byte-lm/ties             | IDENTICAL x4 | f2a23b2534425252 | f2a23b2534425252 | f2a23b2534425252 | f2a23b2534425252 |

summary: IDENTICAL=15

| lane/fixture                 | column | verdict      | amd-gfx942-wide-one | amd-gfx942-wide-two | nvidia-sm_90a-wide-one | nvidia-sm_90a-wide-two |
|------------------------------|--------|--------------|------------------|------------------|------------------|------------------|
| par-byte-lm-model-pool/base  | infer  | N/A          | n/a:function     | n/a:function     | n/a:function     | n/a:function     |
| par-byte-lm-model-pool/base  | model  | N/A          | n/a:no-save      | n/a:no-save      | n/a:no-save      | n/a:no-save      |
| par-byte-lm-model-pool/base  | batch  | N/A          | n/a:no-model     | n/a:no-model     | n/a:no-model     | n/a:no-model     |
| par-byte-lm-model-pool/denormal | infer  | N/A          | n/a:function     | n/a:function     | n/a:function     | n/a:function     |
| par-byte-lm-model-pool/denormal | model  | N/A          | n/a:no-save      | n/a:no-save      | n/a:no-save      | n/a:no-save      |
| par-byte-lm-model-pool/denormal | batch  | N/A          | n/a:no-model     | n/a:no-model     | n/a:no-model     | n/a:no-model     |
| par-byte-lm-model-pool/dupes | infer  | N/A          | n/a:function     | n/a:function     | n/a:function     | n/a:function     |
| par-byte-lm-model-pool/dupes | model  | N/A          | n/a:no-save      | n/a:no-save      | n/a:no-save      | n/a:no-save      |
| par-byte-lm-model-pool/dupes | batch  | N/A          | n/a:no-model     | n/a:no-model     | n/a:no-model     | n/a:no-model     |
| par-byte-lm-model-pool/odd   | infer  | N/A          | n/a:function     | n/a:function     | n/a:function     | n/a:function     |
| par-byte-lm-model-pool/odd   | model  | N/A          | n/a:no-save      | n/a:no-save      | n/a:no-save      | n/a:no-save      |
| par-byte-lm-model-pool/odd   | batch  | N/A          | n/a:no-model     | n/a:no-model     | n/a:no-model     | n/a:no-model     |
| par-byte-lm-model-pool/ties  | infer  | N/A          | n/a:function     | n/a:function     | n/a:function     | n/a:function     |
| par-byte-lm-model-pool/ties  | model  | N/A          | n/a:no-save      | n/a:no-save      | n/a:no-save      | n/a:no-save      |
| par-byte-lm-model-pool/ties  | batch  | N/A          | n/a:no-model     | n/a:no-model     | n/a:no-model     | n/a:no-model     |
| par-byte-lm-offload/base     | infer  | N/A          | n/a:function     | n/a:function     | n/a:function     | n/a:function     |
| par-byte-lm-offload/base     | model  | N/A          | n/a:no-save      | n/a:no-save      | n/a:no-save      | n/a:no-save      |
| par-byte-lm-offload/base     | batch  | N/A          | n/a:no-model     | n/a:no-model     | n/a:no-model     | n/a:no-model     |
| par-byte-lm-offload/denormal | infer  | N/A          | n/a:function     | n/a:function     | n/a:function     | n/a:function     |
| par-byte-lm-offload/denormal | model  | N/A          | n/a:no-save      | n/a:no-save      | n/a:no-save      | n/a:no-save      |
| par-byte-lm-offload/denormal | batch  | N/A          | n/a:no-model     | n/a:no-model     | n/a:no-model     | n/a:no-model     |
| par-byte-lm-offload/dupes    | infer  | N/A          | n/a:function     | n/a:function     | n/a:function     | n/a:function     |
| par-byte-lm-offload/dupes    | model  | N/A          | n/a:no-save      | n/a:no-save      | n/a:no-save      | n/a:no-save      |
| par-byte-lm-offload/dupes    | batch  | N/A          | n/a:no-model     | n/a:no-model     | n/a:no-model     | n/a:no-model     |
| par-byte-lm-offload/odd      | infer  | N/A          | n/a:function     | n/a:function     | n/a:function     | n/a:function     |
| par-byte-lm-offload/odd      | model  | N/A          | n/a:no-save      | n/a:no-save      | n/a:no-save      | n/a:no-save      |
| par-byte-lm-offload/odd      | batch  | N/A          | n/a:no-model     | n/a:no-model     | n/a:no-model     | n/a:no-model     |
| par-byte-lm-offload/ties     | infer  | N/A          | n/a:function     | n/a:function     | n/a:function     | n/a:function     |
| par-byte-lm-offload/ties     | model  | N/A          | n/a:no-save      | n/a:no-save      | n/a:no-save      | n/a:no-save      |
| par-byte-lm-offload/ties     | batch  | N/A          | n/a:no-model     | n/a:no-model     | n/a:no-model     | n/a:no-model     |
| par-byte-lm/base             | infer  | N/A          | n/a:function     | n/a:function     | n/a:function     | n/a:function     |
| par-byte-lm/base             | model  | N/A          | n/a:no-save      | n/a:no-save      | n/a:no-save      | n/a:no-save      |
| par-byte-lm/base             | batch  | N/A          | n/a:no-model     | n/a:no-model     | n/a:no-model     | n/a:no-model     |
