| lane/fixture                 | verdict    | apple-m4         | nvidia-nvidia-h100-80gb-hbm3-sm_90a | amd-gfx942       |
|------------------------------|------------|------------------|------------------|------------------|
| ivf/denormal_ftz             | infer  | IDENTICAL x3 | 3ff4c07c575048cf | 3ff4c07c575048cf | 3ff4c07c575048cf |
| ivf/denormal_ftz             | model  | N/A          | n/a:no-save      | n/a:no-save      | n/a:no-save      |
| ivf/denormal_ftz             | batch  | IDENTICAL x3 | 45f49934c58d1518 | 45f49934c58d1518 | 45f49934c58d1518 |
| ivf/dupes                    | infer  | IDENTICAL x3 | 4ae50eab359ba1e9 | 4ae50eab359ba1e9 | 4ae50eab359ba1e9 |
| ivf/dupes                    | model  | N/A          | n/a:no-save      | n/a:no-save      | n/a:no-save      |
| ivf/dupes                    | batch  | IDENTICAL x3 | 99ec531fb8ae409f | 99ec531fb8ae409f | 99ec531fb8ae409f |
| ivf/hashed                   | infer  | IDENTICAL x3 | 49c22df302ee0334 | 49c22df302ee0334 | 49c22df302ee0334 |
| ivf/hashed                   | model  | N/A          | n/a:no-save      | n/a:no-save      | n/a:no-save      |
| ivf/hashed                   | batch  | IDENTICAL x3 | 648bf9fc3764372d | 648bf9fc3764372d | 648bf9fc3764372d |
| ivf/negative                 | infer  | IDENTICAL x3 | 71333eccc89915b1 | 71333eccc89915b1 | 71333eccc89915b1 |
| ivf/negative                 | model  | N/A          | n/a:no-save      | n/a:no-save      | n/a:no-save      |
| ivf/negative                 | batch  | IDENTICAL x3 | 9786387eb7123b42 | 9786387eb7123b42 | 9786387eb7123b42 |
| ivf/odd                      | infer  | IDENTICAL x3 | 1e0c2401db49a53d | 1e0c2401db49a53d | 1e0c2401db49a53d |
| ivf/odd                      | model  | N/A          | n/a:no-save      | n/a:no-save      | n/a:no-save      |
| ivf/odd                      | batch  | IDENTICAL x3 | 8149b10d16c8ebaa | 8149b10d16c8ebaa | 8149b10d16c8ebaa |
| ivf/ties                     | infer  | IDENTICAL x3 | c62b1be91d40fc43 | c62b1be91d40fc43 | c62b1be91d40fc43 |
| ivf/ties                     | model  | N/A          | n/a:no-save      | n/a:no-save      | n/a:no-save      |
| ivf/ties                     | batch  | IDENTICAL x3 | 166f61a6e1f346b8 | 166f61a6e1f346b8 | 166f61a6e1f346b8 |
| ivf/wide                     | infer  | IDENTICAL x3 | 2bfe5d9bde8a2564 | 2bfe5d9bde8a2564 | 2bfe5d9bde8a2564 |
| ivf/wide                     | model  | N/A          | n/a:no-save      | n/a:no-save      | n/a:no-save      |
| ivf/wide                     | batch  | IDENTICAL x3 | 3e09f4c3db3c3e66 | 3e09f4c3db3c3e66 | 3e09f4c3db3c3e66 |

summary (infer/model): IDENTICAL=18, N/A=18
summary (batch): IDENTICAL=18
require-columns 3 over ['embedding', 'ivf']: OK
