| lane/fixture                 | verdict    | apple-m4         | amd-mi325x-gfx942 |
|------------------------------|------------|------------------|------------------|
| agglomerative/base           | IDENTICAL x2 | ad11b976bfbfc20b | ad11b976bfbfc20b |
| agglomerative/denormal       | IDENTICAL x2 | b05982504c7e8646 | b05982504c7e8646 |
| agglomerative/denormal_ftz   | IDENTICAL x2 | b05982504c7e8646 | b05982504c7e8646 |
| agglomerative/dupes          | IDENTICAL x2 | ad11b976bfbfc20b | ad11b976bfbfc20b |
| agglomerative/hashed         | IDENTICAL x2 | 196c79a60c16166c | 196c79a60c16166c |
| agglomerative/negative       | IDENTICAL x2 | 795f9975eb5ed985 | 795f9975eb5ed985 |
| agglomerative/odd            | IDENTICAL x2 | c747a33eff11bbe1 | c747a33eff11bbe1 |
| agglomerative/ties           | IDENTICAL x2 | 7dea8a094150b8a9 | 7dea8a094150b8a9 |
| agglomerative/wide           | IDENTICAL x2 | 24b2baa4533fb568 | 24b2baa4533fb568 |
| dbscan/base                  | IDENTICAL x2 | 64df251bd00de81b | 64df251bd00de81b |
| dbscan/denormal              | IDENTICAL x2 | 9c0b3563fc16b652 | 9c0b3563fc16b652 |
| dbscan/denormal_ftz          | IDENTICAL x2 | 9c0b3563fc16b652 | 9c0b3563fc16b652 |
| dbscan/dupes                 | IDENTICAL x2 | 64df251bd00de81b | 64df251bd00de81b |
| dbscan/hashed                | IDENTICAL x2 | d17808b4b9261d5d | d17808b4b9261d5d |
| dbscan/negative              | IDENTICAL x2 | bb6bd31e075693e9 | bb6bd31e075693e9 |
| dbscan/odd                   | IDENTICAL x2 | 54d129f45630ea84 | 54d129f45630ea84 |
| dbscan/ties                  | IDENTICAL x2 | b7535355c1581603 | b7535355c1581603 |
| dbscan/wide                  | IDENTICAL x2 | d17808b4b9261d5d | d17808b4b9261d5d |
| elasticnet/base              | IDENTICAL x2 | 2cf742083831ee9d | 2cf742083831ee9d |
| elasticnet/denormal          | IDENTICAL x2 | 3add60ff69fd788c | 3add60ff69fd788c |
| elasticnet/denormal_ftz      | IDENTICAL x2 | 3add60ff69fd788c | 3add60ff69fd788c |
| elasticnet/dupes             | IDENTICAL x2 | 97d4c8c235d38bfe | 97d4c8c235d38bfe |
| elasticnet/hashed            | IDENTICAL x2 | 00b6923d62a41c0a | 00b6923d62a41c0a |
| elasticnet/negative          | IDENTICAL x2 | 7624315e7deffe10 | 7624315e7deffe10 |
| elasticnet/odd               | IDENTICAL x2 | 1a518e703b7dd1d9 | 1a518e703b7dd1d9 |
| elasticnet/ties              | IDENTICAL x2 | 118eac19578010ab | 118eac19578010ab |
| elasticnet/wide              | IDENTICAL x2 | ef8800eaf0ca4f87 | ef8800eaf0ca4f87 |
| et-clf/base                  | IDENTICAL x2 | c586b27a3b049614 | c586b27a3b049614 |
| et-clf/denormal              | IDENTICAL x2 | b40377fb35e52909 | b40377fb35e52909 |
| et-clf/denormal_ftz          | IDENTICAL x2 | b40377fb35e52909 | b40377fb35e52909 |
| et-clf/dupes                 | IDENTICAL x2 | a24dcc8a93f699ff | a24dcc8a93f699ff |
| et-clf/hashed                | IDENTICAL x2 | eb7aaadcd0843a6d | eb7aaadcd0843a6d |
| et-clf/negative              | IDENTICAL x2 | e1409786c462d97b | e1409786c462d97b |
| et-clf/odd                   | IDENTICAL x2 | 1da918353bb9f10e | 1da918353bb9f10e |
| et-clf/ties                  | IDENTICAL x2 | 604f59c7a4203eeb | 604f59c7a4203eeb |
| et-clf/wide                  | IDENTICAL x2 | ee8b318d6bf698b2 | ee8b318d6bf698b2 |
| et-reg/base                  | IDENTICAL x2 | 754d8c127ecfc04d | 754d8c127ecfc04d |
| et-reg/denormal              | IDENTICAL x2 | 19a23f6fea44befd | 19a23f6fea44befd |
| et-reg/denormal_ftz          | IDENTICAL x2 | 19a23f6fea44befd | 19a23f6fea44befd |
| et-reg/dupes                 | IDENTICAL x2 | 9a63fea590f79a67 | 9a63fea590f79a67 |
| et-reg/hashed                | IDENTICAL x2 | 4e0a0d9a4670ed5f | 4e0a0d9a4670ed5f |
| et-reg/negative              | IDENTICAL x2 | 3fd3dff94cc79fc2 | 3fd3dff94cc79fc2 |
| et-reg/odd                   | IDENTICAL x2 | c9fe7c90673c2661 | c9fe7c90673c2661 |
| et-reg/ties                  | IDENTICAL x2 | e7072e1c8fe0083c | e7072e1c8fe0083c |
| et-reg/wide                  | IDENTICAL x2 | b745e53515f59cac | b745e53515f59cac |
| gbdt-depthwise/base          | IDENTICAL x2 | 38726fc0c93c0bff | 38726fc0c93c0bff |
| gbdt-depthwise/denormal      | IDENTICAL x2 | 64ba350c759ff2e9 | 64ba350c759ff2e9 |
| gbdt-depthwise/denormal_ftz  | IDENTICAL x2 | 64ba350c759ff2e9 | 64ba350c759ff2e9 |
| gbdt-depthwise/dupes         | IDENTICAL x2 | e521424a96e216cb | e521424a96e216cb |
| gbdt-depthwise/hashed        | IDENTICAL x2 | 9455870882645f48 | 9455870882645f48 |
| gbdt-depthwise/negative      | IDENTICAL x2 | d77fc9f6a3eee0a2 | d77fc9f6a3eee0a2 |
| gbdt-depthwise/odd           | IDENTICAL x2 | fb9e5c03088814f6 | fb9e5c03088814f6 |
| gbdt-depthwise/ties          | IDENTICAL x2 | 465cb10f303e005a | 465cb10f303e005a |
| gbdt-depthwise/wide          | IDENTICAL x2 | 2a77ec865e62539a | 2a77ec865e62539a |
| gbdt-lossguide/base          | IDENTICAL x2 | bc3017cb29615105 | bc3017cb29615105 |
| gbdt-lossguide/denormal      | IDENTICAL x2 | b0a6d4a26ed4d77c | b0a6d4a26ed4d77c |
| gbdt-lossguide/denormal_ftz  | IDENTICAL x2 | b0a6d4a26ed4d77c | b0a6d4a26ed4d77c |
| gbdt-lossguide/dupes         | IDENTICAL x2 | b1546f9b3c4293a5 | b1546f9b3c4293a5 |
| gbdt-lossguide/hashed        | IDENTICAL x2 | 3841103ecb3ac05d | 3841103ecb3ac05d |
| gbdt-lossguide/negative      | IDENTICAL x2 | 67b332fcf8b5d0dd | 67b332fcf8b5d0dd |
| gbdt-lossguide/odd           | IDENTICAL x2 | 9fd309c55a93e6c3 | 9fd309c55a93e6c3 |
| gbdt-lossguide/ties          | IDENTICAL x2 | 19d199f7bfa16c25 | 19d199f7bfa16c25 |
| gbdt-lossguide/wide          | IDENTICAL x2 | b9cc1b2b55425cdc | b9cc1b2b55425cdc |
| gbdt-rmse/base               | IDENTICAL x2 | 3f8aef8d73be249c | 3f8aef8d73be249c |
| gbdt-rmse/denormal           | IDENTICAL x2 | 400f099e655dc453 | 400f099e655dc453 |
| gbdt-rmse/denormal_ftz       | IDENTICAL x2 | 400f099e655dc453 | 400f099e655dc453 |
| gbdt-rmse/dupes              | IDENTICAL x2 | 49848bfd3c26b52e | 49848bfd3c26b52e |
| gbdt-rmse/hashed             | IDENTICAL x2 | a89dba586c0f1ab4 | a89dba586c0f1ab4 |
| gbdt-rmse/negative           | IDENTICAL x2 | e54f74cdab3f29f0 | e54f74cdab3f29f0 |
| gbdt-rmse/odd                | IDENTICAL x2 | 7b54ca9d69e29714 | 7b54ca9d69e29714 |
| gbdt-rmse/ties               | IDENTICAL x2 | 88cba1574daa922e | 88cba1574daa922e |
| gbdt-rmse/wide               | IDENTICAL x2 | 5ea3a06d9df1d862 | 5ea3a06d9df1d862 |
