EXPECTED FAIL: loss
EXPECTED FAIL: gradients
EXPECTED FAIL: parameters
EXPECTED FAIL: m
EXPECTED FAIL: v
EXPECTED FAIL: flags
EXPECTED FAIL: same legacy arm
EXPECTED FAIL: same guarded arm
MATCH step 0 loss d1b0bc14e89f1f881d19c11bb576e521f1b8a226397b88171ab3cb6697b6da22
MATCH step 0 loss d1b0bc14e89f1f881d19c11bb576e521f1b8a226397b88171ab3cb6697b6da22
MATCH step 0 gradients 27bc1b3cffa8f5797686f42c9cf52aa1d9e27684293149c083d0a21d9b962f75
MATCH step 0 parameters 46e9278d2016e17488bddba8c9bcbd0fac9da2bb6cdeacc75cb09074ad5c0724
MATCH step 0 m 4d24a5083ab6a47817a6593c1cb7e098a6cfb20a8ef7e8a0273b3306af4909a9
MATCH step 0 v 3762902edbc0c3c9a6065897cacf4e3618cf5d85cfc5a6f550068bef95f99adf
MATCH step 0 flags 360d579dbd14759b41afdf7fb5e80c0101e15150ae401d59f92a1e32d129f7cb
MATCH step 1 loss 7.699521541595459
MATCH step 2 loss 30.524564743041992
MATCH step 3 loss 12.927316665649414
MATCH step 4 loss 37.569000244140625
MATCH step 5 loss 51.80268096923828
MATCH step 6 loss 43.427093505859375
MATCH step 7 loss 20.33283233642578
MATCH step 8 loss 22.831809997558594
MATCH step 9 loss 18.268898010253906
MATCH step 10 loss 12.956520080566406
MATCH step 11 loss 13.94651985168457
MATCH step 12 loss 24.27643394470215
MATCH step 13 loss 23.104421615600586
MATCH step 14 loss 21.871845245361328
MATCH step 15 loss 19.292144775390625
MATCH step 16 loss 18.327789306640625
MATCH step 17 loss 15.186734199523926
MATCH step 18 loss 24.439373016357422
MATCH step 19 loss 23.879980087280273
MATCH step 20 loss 17.810359954833984
MATCH step 21 loss 14.377230644226074
MATCH step 22 loss 14.797597885131836
MATCH step 23 loss 10.548526763916016
MATCH step 24 loss 11.87118148803711
MATCH step 25 loss 14.099935531616211
MATCH step 26 loss 11.081274032592773
MATCH step 27 loss 12.0804443359375
MATCH step 28 loss 9.197931289672852
MATCH step 29 loss 9.18447494506836
MATCH step 30 loss 9.350240707397461
MATCH step 31 loss 8.903139114379883
MATCH step 32 loss 6.565920352935791
MATCH step 33 loss 8.084688186645508
MATCH step 34 loss 10.096080780029297
MATCH step 35 loss 9.55998706817627
MATCH step 36 loss 9.865978240966797
MATCH step 37 loss 11.38685131072998
MATCH step 38 loss 11.483643531799316
MATCH step 39 loss 11.235244750976562
MATCH step 40 loss 9.908439636230469
MATCH step 41 loss 8.461050033569336
MATCH step 42 loss 6.605870246887207
MATCH step 43 loss 5.956817626953125
MATCH step 44 loss 6.808510780334473
MATCH step 45 loss 6.3314361572265625
MATCH step 46 loss 6.120074272155762
MATCH step 47 loss 6.17824125289917
MATCH step 48 loss 6.029764652252197
MATCH step 49 loss 6.122051239013672
MATCH step 50 loss 6.538046836853027
MATCH step 51 loss 5.925688743591309
MATCH step 52 loss 5.891386985778809
MATCH step 53 loss 6.45198917388916
MATCH step 54 loss 6.265140533447266
MATCH step 55 loss 6.120263576507568
MATCH step 56 loss 5.1309661865234375
MATCH step 57 loss 5.741797924041748
MATCH step 58 loss 6.278660774230957
MATCH step 59 loss 5.032308101654053
MATCH step 60 loss 6.058714389801025
MATCH step 61 loss 4.933403015136719
MATCH step 62 loss 4.092536926269531
MATCH step 63 loss 5.140769004821777
MATCH step 64 loss 6.7046074867248535
MATCH step 65 loss 4.745255470275879
MATCH step 66 loss 4.624103546142578
MATCH step 67 loss 4.374168395996094
MATCH step 68 loss 4.304243087768555
MATCH step 69 loss 5.335903167724609
MATCH step 70 loss 4.059805870056152
MATCH step 71 loss 3.8151133060455322
MATCH step 72 loss 3.808063507080078
MATCH step 73 loss 4.3163299560546875
MATCH step 74 loss 4.453239440917969
MATCH step 75 loss 4.582489013671875
MATCH step 76 loss 4.714592933654785
MATCH step 77 loss 4.133396148681641
MATCH step 78 loss 3.549643039703369
MATCH step 79 loss 3.0768797397613525
MATCH step 80 loss 4.810515880584717
MATCH step 81 loss 4.696025848388672
MATCH step 82 loss 4.176201820373535
MATCH step 83 loss 3.6483349800109863
MATCH step 84 loss 3.4070992469787598
MATCH step 85 loss 3.810774326324463
MATCH step 86 loss 4.110926151275635
MATCH step 87 loss 3.9568498134613037
MATCH step 88 loss 4.305430889129639
MATCH step 89 loss 3.905874729156494
MATCH step 90 loss 3.507565498352051
MATCH step 91 loss 3.5254621505737305
