| lane/fixture                 | verdict    | nvidia-NVIDIA_H100_80GB_HBM3 | nvidia-NVIDIA_H100_80GB_HBM3 |
|------------------------------|------------|------------------|------------------|
| et-clf/base                  | ONE-COLUMN | (not run)        | c586b27a3b049614 |
| et-clf/denormal              | ONE-COLUMN | (not run)        | b40377fb35e52909 |
| et-clf/denormal_ftz          | ONE-COLUMN | (not run)        | b40377fb35e52909 |
| et-clf/dupes                 | ONE-COLUMN | (not run)        | a24dcc8a93f699ff |
| et-clf/hashed                | ONE-COLUMN | (not run)        | eb7aaadcd0843a6d |
| et-clf/negative              | ONE-COLUMN | (not run)        | e1409786c462d97b |
| et-clf/odd                   | ONE-COLUMN | (not run)        | 1da918353bb9f10e |
| et-clf/ties                  | ONE-COLUMN | (not run)        | 604f59c7a4203eeb |
| et-clf/wide                  | ONE-COLUMN | (not run)        | ee8b318d6bf698b2 |
| et-reg/base                  | ONE-COLUMN | (not run)        | 754d8c127ecfc04d |
| et-reg/denormal              | ONE-COLUMN | (not run)        | 19a23f6fea44befd |
| et-reg/denormal_ftz          | ONE-COLUMN | (not run)        | 19a23f6fea44befd |
| et-reg/dupes                 | ONE-COLUMN | (not run)        | 9a63fea590f79a67 |
| et-reg/hashed                | ONE-COLUMN | (not run)        | 4e0a0d9a4670ed5f |
| et-reg/negative              | ONE-COLUMN | (not run)        | 3fd3dff94cc79fc2 |
| et-reg/odd                   | ONE-COLUMN | (not run)        | c9fe7c90673c2661 |
| et-reg/ties                  | ONE-COLUMN | (not run)        | e7072e1c8fe0083c |
| et-reg/wide                  | ONE-COLUMN | (not run)        | b745e53515f59cac |
| gbdt-depthwise/base          | ONE-COLUMN | (not run)        | 38726fc0c93c0bff |
| gbdt-depthwise/denormal      | ONE-COLUMN | (not run)        | 64ba350c759ff2e9 |
| gbdt-depthwise/denormal_ftz  | ONE-COLUMN | (not run)        | 64ba350c759ff2e9 |
| gbdt-depthwise/dupes         | ONE-COLUMN | (not run)        | e521424a96e216cb |
| gbdt-depthwise/hashed        | ONE-COLUMN | (not run)        | 9455870882645f48 |
| gbdt-depthwise/negative      | ONE-COLUMN | (not run)        | d77fc9f6a3eee0a2 |
| gbdt-depthwise/odd           | ONE-COLUMN | (not run)        | fb9e5c03088814f6 |
| gbdt-depthwise/ties          | ONE-COLUMN | (not run)        | 465cb10f303e005a |
| gbdt-depthwise/wide          | ONE-COLUMN | (not run)        | 2a77ec865e62539a |
| gbdt-lossguide/base          | ONE-COLUMN | (not run)        | bc3017cb29615105 |
| gbdt-lossguide/denormal      | ONE-COLUMN | (not run)        | b0a6d4a26ed4d77c |
| gbdt-lossguide/denormal_ftz  | ONE-COLUMN | (not run)        | b0a6d4a26ed4d77c |
| gbdt-lossguide/dupes         | ONE-COLUMN | (not run)        | b1546f9b3c4293a5 |
| gbdt-lossguide/hashed        | ONE-COLUMN | (not run)        | 3841103ecb3ac05d |
| gbdt-lossguide/negative      | ONE-COLUMN | (not run)        | 67b332fcf8b5d0dd |
| gbdt-lossguide/odd           | ONE-COLUMN | (not run)        | 9fd309c55a93e6c3 |
| gbdt-lossguide/ties          | ONE-COLUMN | (not run)        | 19d199f7bfa16c25 |
| gbdt-lossguide/wide          | ONE-COLUMN | (not run)        | b9cc1b2b55425cdc |
| gbdt-rmse/base               | ONE-COLUMN | (not run)        | 3f8aef8d73be249c |
| gbdt-rmse/denormal           | ONE-COLUMN | (not run)        | 400f099e655dc453 |
| gbdt-rmse/denormal_ftz       | ONE-COLUMN | (not run)        | 400f099e655dc453 |
| gbdt-rmse/dupes              | ONE-COLUMN | (not run)        | 49848bfd3c26b52e |
| gbdt-rmse/hashed             | ONE-COLUMN | (not run)        | a89dba586c0f1ab4 |
| gbdt-rmse/negative           | ONE-COLUMN | (not run)        | e54f74cdab3f29f0 |
| gbdt-rmse/odd                | ONE-COLUMN | (not run)        | 7b54ca9d69e29714 |
| gbdt-rmse/ties               | ONE-COLUMN | (not run)        | 88cba1574daa922e |
| gbdt-rmse/wide               | ONE-COLUMN | (not run)        | 5ea3a06d9df1d862 |
| gbdt-symmetric/base          | ONE-COLUMN | (not run)        | 56560dec5bdb6cb9 |
| gbdt-symmetric/denormal      | ONE-COLUMN | (not run)        | 56560dec5bdb6cb9 |
| gbdt-symmetric/denormal_ftz  | ONE-COLUMN | (not run)        | 56560dec5bdb6cb9 |
| gbdt-symmetric/dupes         | ONE-COLUMN | (not run)        | 9d55545ce5f2ac2b |
| gbdt-symmetric/hashed        | ONE-COLUMN | (not run)        | cf3de2636433b65a |
| gbdt-symmetric/negative      | ONE-COLUMN | (not run)        | fb9966f26639c286 |
| gbdt-symmetric/odd           | ONE-COLUMN | (not run)        | 0836bd47530040d0 |
| gbdt-symmetric/ties          | ONE-COLUMN | (not run)        | b32c469f812adf25 |
| gbdt-symmetric/wide          | ONE-COLUMN | (not run)        | bc0084b9b1e30f87 |
| kmeans/base                  | ONE-COLUMN | (not run)        | 5aa44cc11034dec9 |
| kmeans/denormal              | ONE-COLUMN | (not run)        | 993fe5caff144b0c |
| kmeans/denormal_ftz          | ONE-COLUMN | (not run)        | 993fe5caff144b0c |
| kmeans/dupes                 | ONE-COLUMN | (not run)        | 2ae942d45a51757a |
| kmeans/hashed                | ONE-COLUMN | (not run)        | 0a570e84b0002723 |
| kmeans/negative              | ONE-COLUMN | (not run)        | d4cc38e75f8e2d75 |
| kmeans/odd                   | ONE-COLUMN | (not run)        | 43d8a3d3859f4143 |
| kmeans/ties                  | ONE-COLUMN | (not run)        | 3de3e103006de69c |
| kmeans/wide                  | ONE-COLUMN | (not run)        | 6f0529fcb3d60536 |
| rf-clf/base                  | IDENTICAL x2 | bffd9e22f7936f12 | bffd9e22f7936f12 |
| rf-clf/denormal              | IDENTICAL x2 | b9c56acc3d78e224 | b9c56acc3d78e224 |
| rf-clf/denormal_ftz          | IDENTICAL x2 | b9c56acc3d78e224 | b9c56acc3d78e224 |
| rf-clf/dupes                 | IDENTICAL x2 | c5cdc20d6257828f | c5cdc20d6257828f |
| rf-clf/hashed                | IDENTICAL x2 | 521fbcf08d68a5bd | 521fbcf08d68a5bd |
| rf-clf/negative              | IDENTICAL x2 | c17d0509b895ccb7 | c17d0509b895ccb7 |
| rf-clf/odd                   | IDENTICAL x2 | b32edad54396d0f7 | b32edad54396d0f7 |
| rf-clf/ties                  | IDENTICAL x2 | f69fb78c32827c41 | f69fb78c32827c41 |
| rf-clf/wide                  | IDENTICAL x2 | bc538487074ad10c | bc538487074ad10c |
| rf-reg/base                  | IDENTICAL x2 | f032017cfd1c73dd | f032017cfd1c73dd |
| rf-reg/denormal              | IDENTICAL x2 | feed3869ba06eaf7 | feed3869ba06eaf7 |
| rf-reg/denormal_ftz          | IDENTICAL x2 | feed3869ba06eaf7 | feed3869ba06eaf7 |
| rf-reg/dupes                 | IDENTICAL x2 | 55f5becd2a3a172c | 55f5becd2a3a172c |
| rf-reg/hashed                | IDENTICAL x2 | c755113ac878c8b9 | c755113ac878c8b9 |
| rf-reg/negative              | IDENTICAL x2 | cd81c456c75aaaf0 | cd81c456c75aaaf0 |
| rf-reg/odd                   | IDENTICAL x2 | 33f207a8fab32866 | 33f207a8fab32866 |
| rf-reg/ties                  | IDENTICAL x2 | ec6e7b28cd0d16a9 | ec6e7b28cd0d16a9 |
| rf-reg/wide                  | IDENTICAL x2 | 8d9b05172d7a3777 | 8d9b05172d7a3777 |

summary: IDENTICAL=18, ONE-COLUMN=63
