| lane/fixture                 | verdict    | apple-m4         | nvidia-h100-sm_90a | amd-mi325x-gfx942 |
|------------------------------|------------|------------------|------------------|------------------|
| agglomerative/base           | IDENTICAL x3 | ad11b976bfbfc20b | ad11b976bfbfc20b | ad11b976bfbfc20b |
| agglomerative/denormal       | IDENTICAL x3 | b05982504c7e8646 | b05982504c7e8646 | b05982504c7e8646 |
| agglomerative/denormal_ftz   | IDENTICAL x3 | b05982504c7e8646 | b05982504c7e8646 | b05982504c7e8646 |
| agglomerative/dupes          | IDENTICAL x3 | ad11b976bfbfc20b | ad11b976bfbfc20b | ad11b976bfbfc20b |
| agglomerative/hashed         | IDENTICAL x3 | 196c79a60c16166c | 196c79a60c16166c | 196c79a60c16166c |
| agglomerative/negative       | IDENTICAL x3 | 795f9975eb5ed985 | 795f9975eb5ed985 | 795f9975eb5ed985 |
| agglomerative/odd            | IDENTICAL x3 | c747a33eff11bbe1 | c747a33eff11bbe1 | c747a33eff11bbe1 |
| agglomerative/ties           | IDENTICAL x3 | 7dea8a094150b8a9 | 7dea8a094150b8a9 | 7dea8a094150b8a9 |
| agglomerative/wide           | IDENTICAL x3 | 24b2baa4533fb568 | 24b2baa4533fb568 | 24b2baa4533fb568 |
| arima-011/base               | IDENTICAL x3 | 444512355dd3dcc7 | 444512355dd3dcc7 | 444512355dd3dcc7 |
| arima-011/denormal           | IDENTICAL x3 | 1ec68f0334b2a8f7 | 1ec68f0334b2a8f7 | 1ec68f0334b2a8f7 |
| arima-011/denormal_ftz       | IDENTICAL x3 | 1ec68f0334b2a8f7 | 1ec68f0334b2a8f7 | 1ec68f0334b2a8f7 |
| arima-011/dupes              | IDENTICAL x3 | 444512355dd3dcc7 | 444512355dd3dcc7 | 444512355dd3dcc7 |
| arima-011/hashed             | IDENTICAL x3 | ed2fc6041b9e6b34 | ed2fc6041b9e6b34 | ed2fc6041b9e6b34 |
| arima-011/negative           | IDENTICAL x3 | 4510d9cca33c3880 | 4510d9cca33c3880 | 4510d9cca33c3880 |
| arima-011/odd                | IDENTICAL x3 | fe873ed580ec36a5 | fe873ed580ec36a5 | fe873ed580ec36a5 |
| arima-011/ties               | IDENTICAL x3 | 18ad2790f8b3319b | 18ad2790f8b3319b | 18ad2790f8b3319b |
| arima-011/wide               | IDENTICAL x3 | dcaecce707040ce1 | dcaecce707040ce1 | dcaecce707040ce1 |
| arima-seasonal-c/base        | IDENTICAL x3 | 192cac65b75a4e9d | 192cac65b75a4e9d | 192cac65b75a4e9d |
| arima-seasonal-c/denormal    | IDENTICAL x3 | e22ec2fed1a5f9a0 | e22ec2fed1a5f9a0 | e22ec2fed1a5f9a0 |
| arima-seasonal-c/denormal_ftz | IDENTICAL x3 | e22ec2fed1a5f9a0 | e22ec2fed1a5f9a0 | e22ec2fed1a5f9a0 |
| arima-seasonal-c/dupes       | IDENTICAL x3 | 192cac65b75a4e9d | 192cac65b75a4e9d | 192cac65b75a4e9d |
| arima-seasonal-c/hashed      | IDENTICAL x3 | 2c8f2249375b77da | 2c8f2249375b77da | 2c8f2249375b77da |
| arima-seasonal-c/negative    | IDENTICAL x3 | fa010819b07e078a | fa010819b07e078a | fa010819b07e078a |
| arima-seasonal-c/odd         | IDENTICAL x3 | 638697a3196b80ea | 638697a3196b80ea | 638697a3196b80ea |
| arima-seasonal-c/ties        | IDENTICAL x3 | 226754a32af96ebb | 226754a32af96ebb | 226754a32af96ebb |
| arima-seasonal-c/wide        | IDENTICAL x3 | 79f2c8172e739a12 | 79f2c8172e739a12 | 79f2c8172e739a12 |
| arima/base                   | IDENTICAL x3 | 377790cb117abb61 | 377790cb117abb61 | 377790cb117abb61 |
| arima/denormal               | IDENTICAL x3 | 7dbefd70378dfac6 | 7dbefd70378dfac6 | 7dbefd70378dfac6 |
| arima/denormal_ftz           | IDENTICAL x3 | 7dbefd70378dfac6 | 7dbefd70378dfac6 | 7dbefd70378dfac6 |
| arima/dupes                  | IDENTICAL x3 | 377790cb117abb61 | 377790cb117abb61 | 377790cb117abb61 |
| arima/hashed                 | IDENTICAL x3 | d4ed8b9405da9691 | d4ed8b9405da9691 | d4ed8b9405da9691 |
| arima/negative               | IDENTICAL x3 | 29f18fa209679839 | 29f18fa209679839 | 29f18fa209679839 |
| arima/odd                    | IDENTICAL x3 | 20bf64323fc5fa12 | 20bf64323fc5fa12 | 20bf64323fc5fa12 |
| arima/ties                   | IDENTICAL x3 | 990e96a6d7fd2874 | 990e96a6d7fd2874 | 990e96a6d7fd2874 |
| arima/wide                   | IDENTICAL x3 | 440f5eba6a3ddede | 440f5eba6a3ddede | 440f5eba6a3ddede |
| bootstrap/base               | IDENTICAL x3 | e667d4d38362620d | e667d4d38362620d | e667d4d38362620d |
| bootstrap/denormal           | IDENTICAL x3 | a39d72e26d5a1941 | a39d72e26d5a1941 | a39d72e26d5a1941 |
| bootstrap/denormal_ftz       | IDENTICAL x3 | a39d72e26d5a1941 | a39d72e26d5a1941 | a39d72e26d5a1941 |
| bootstrap/dupes              | IDENTICAL x3 | 6f713352e593eab1 | 6f713352e593eab1 | 6f713352e593eab1 |
| bootstrap/hashed             | IDENTICAL x3 | d5ff5a72bf552c9d | d5ff5a72bf552c9d | d5ff5a72bf552c9d |
| bootstrap/negative           | IDENTICAL x3 | 8430c8e1fcf79992 | 8430c8e1fcf79992 | 8430c8e1fcf79992 |
| bootstrap/odd                | IDENTICAL x3 | 31f06128e1383fd6 | 31f06128e1383fd6 | 31f06128e1383fd6 |
| bootstrap/ties               | IDENTICAL x3 | 530b26bb09ee258a | 530b26bb09ee258a | 530b26bb09ee258a |
| bootstrap/wide               | IDENTICAL x3 | a6af5c07db6447e7 | a6af5c07db6447e7 | a6af5c07db6447e7 |
| byte-lm-host-infer-threaded/base | IDENTICAL x3 | 9a22cf6df14a6ca8 | 9a22cf6df14a6ca8 | 9a22cf6df14a6ca8 |
| byte-lm-host-infer-threaded/denormal | IDENTICAL x3 | dad5258f043269c3 | dad5258f043269c3 | dad5258f043269c3 |
| byte-lm-host-infer-threaded/denormal_ftz | IDENTICAL x3 | d1af362bc6ad2ecf | d1af362bc6ad2ecf | d1af362bc6ad2ecf |
| byte-lm-host-infer-threaded/dupes | IDENTICAL x3 | 21c1595573e0f858 | 21c1595573e0f858 | 21c1595573e0f858 |
| byte-lm-host-infer-threaded/hashed | IDENTICAL x3 | 23284f15a5a13f7e | 23284f15a5a13f7e | 23284f15a5a13f7e |
| byte-lm-host-infer-threaded/negative | IDENTICAL x3 | 957bc9055db7588f | 957bc9055db7588f | 957bc9055db7588f |
| byte-lm-host-infer-threaded/odd | IDENTICAL x3 | 9a22cf6df14a6ca8 | 9a22cf6df14a6ca8 | 9a22cf6df14a6ca8 |
| byte-lm-host-infer-threaded/ties | IDENTICAL x3 | 5eb6c37f486dcb83 | 5eb6c37f486dcb83 | 5eb6c37f486dcb83 |
| byte-lm-host-infer-threaded/wide | IDENTICAL x3 | 144b4e7374436e15 | 144b4e7374436e15 | 144b4e7374436e15 |
| byte-lm-host-infer/base      | IDENTICAL x3 | 9a22cf6df14a6ca8 | 9a22cf6df14a6ca8 | 9a22cf6df14a6ca8 |
| byte-lm-host-infer/denormal  | IDENTICAL x3 | dad5258f043269c3 | dad5258f043269c3 | dad5258f043269c3 |
| byte-lm-host-infer/denormal_ftz | IDENTICAL x3 | d1af362bc6ad2ecf | d1af362bc6ad2ecf | d1af362bc6ad2ecf |
| byte-lm-host-infer/dupes     | IDENTICAL x3 | 21c1595573e0f858 | 21c1595573e0f858 | 21c1595573e0f858 |
| byte-lm-host-infer/hashed    | IDENTICAL x3 | 23284f15a5a13f7e | 23284f15a5a13f7e | 23284f15a5a13f7e |
| byte-lm-host-infer/negative  | IDENTICAL x3 | 957bc9055db7588f | 957bc9055db7588f | 957bc9055db7588f |
| byte-lm-host-infer/odd       | IDENTICAL x3 | 9a22cf6df14a6ca8 | 9a22cf6df14a6ca8 | 9a22cf6df14a6ca8 |
| byte-lm-host-infer/ties      | IDENTICAL x3 | 5eb6c37f486dcb83 | 5eb6c37f486dcb83 | 5eb6c37f486dcb83 |
| byte-lm-host-infer/wide      | IDENTICAL x3 | 144b4e7374436e15 | 144b4e7374436e15 | 144b4e7374436e15 |
| byte-lm-host-train/base      | IDENTICAL x3 | 04d7452abeb7ae7a | 04d7452abeb7ae7a | 04d7452abeb7ae7a |
| byte-lm-host-train/denormal  | IDENTICAL x3 | 5dacd27d99b63ea8 | 5dacd27d99b63ea8 | 5dacd27d99b63ea8 |
| byte-lm-host-train/denormal_ftz | IDENTICAL x3 | ce4b89211b242e2a | ce4b89211b242e2a | ce4b89211b242e2a |
| byte-lm-host-train/dupes     | IDENTICAL x3 | 3e3bf4a1d2093466 | 3e3bf4a1d2093466 | 3e3bf4a1d2093466 |
| byte-lm-host-train/hashed    | IDENTICAL x3 | 915a8a6b7e5f5bf3 | 915a8a6b7e5f5bf3 | 915a8a6b7e5f5bf3 |
